index,iou0,iou1,miou
0,0.900142,0.235247,0.567695
1,0.929118,0.415042,0.672080
2,0.938001,0.496420,0.717211
3,0.918877,0.381454,0.650166
4,0.911147,0.359103,0.635125
5,0.839775,0.113514,0.476645
6,0.832976,0.081197,0.457086
7,0.858282,0.017317,0.437799
8,0.847931,0.035126,0.441529
9,0.903675,0.066286,0.484981
10,0.856568,0.083423,0.469996
11,0.927447,0.390468,0.658958
12,0.911863,0.400334,0.656098
13,0.922080,0.420806,0.671443
14,0.914716,0.383945,0.649330
15,0.936248,0.512049,0.724149
16,0.872020,0.104764,0.488392
17,0.866970,0.118460,0.492715
18,0.913562,0.413024,0.663293
19,0.907064,0.207707,0.557386
20,0.931828,0.290070,0.610949
21,0.871858,0.074817,0.473337
22,0.822665,0.186478,0.504571
23,0.875140,0.133617,0.504379
24,0.849732,0.116609,0.483170
25,0.899602,0.169703,0.534652
26,0.865202,0.076324,0.470763
27,0.852924,0.105070,0.478997
28,0.923227,0.324896,0.624061
29,0.925335,0.395508,0.660422
30,0.898015,0.248487,0.573251
31,0.852003,0.195566,0.523785
32,0.844385,0.186179,0.515282
33,0.857807,0.018239,0.438023
34,0.838587,0.144651,0.491619
35,0.933404,0.386981,0.660193
36,0.918546,0.281215,0.599880
37,0.845185,0.206771,0.525978
38,0.921547,0.373543,0.647545
39,0.900934,0.246135,0.573535
40,0.911906,0.315681,0.613794
41,0.843500,0.119045,0.481272
42,0.915069,0.259273,0.587171
43,0.832403,0.156595,0.494499
44,0.827452,0.136802,0.482127
45,0.933599,0.484310,0.708954
46,0.860776,0.172588,0.516682
47,0.842307,0.132329,0.487318
48,0.929505,0.407902,0.668703
49,0.915989,0.245715,0.580852
50,0.847047,0.085147,0.466097
51,0.918650,0.259055,0.588852
52,0.836904,0.181263,0.509084
53,0.907016,0.238123,0.572569
54,0.852010,0.110120,0.481065
55,0.864678,0.063066,0.463872
56,0.840134,0.108907,0.474520
57,0.913256,0.266576,0.589916
58,0.942831,0.436299,0.689565
59,0.944418,0.546647,0.745532
60,0.873671,0.161719,0.517695
mean,0.886713,0.234159,0.560436
