index,iou0,iou1,miou
0,0.865837,0.120565,0.493201
1,0.859972,0.174340,0.517156
2,0.939157,0.482307,0.710732
3,0.935130,0.415682,0.675406
4,0.927796,0.404051,0.665924
5,0.931414,0.411643,0.671528
6,0.917650,0.263100,0.590375
7,0.938968,0.268328,0.603648
8,0.934881,0.307015,0.620948
9,0.894991,0.061995,0.478493
10,0.904720,0.289305,0.597013
11,0.866281,0.121195,0.493738
12,0.917897,0.413114,0.665505
13,0.862205,0.173811,0.518008
14,0.847186,0.122150,0.484668
15,0.837634,0.118672,0.478153
16,0.934489,0.361708,0.648099
17,0.931399,0.375044,0.653222
18,0.920451,0.453773,0.687112
19,0.856767,0.045647,0.451207
20,0.936262,0.300265,0.618264
21,0.924557,0.268257,0.596407
22,0.900256,0.388312,0.644284
23,0.936588,0.362698,0.649643
24,0.933159,0.360061,0.646610
25,0.914516,0.193957,0.554237
26,0.926640,0.190263,0.558452
27,0.930509,0.314700,0.622604
28,0.872381,0.106052,0.489217
29,0.850244,0.148352,0.499298
30,0.825584,0.065191,0.445387
31,0.932404,0.450384,0.691394
32,0.863700,0.158116,0.510908
33,0.910980,0.090819,0.500900
34,0.844090,0.134199,0.489145
35,0.869837,0.113060,0.491449
36,0.864160,0.080918,0.472539
37,0.850486,0.171074,0.510780
38,0.928324,0.393567,0.660945
39,0.909504,0.264778,0.587141
40,0.842941,0.069784,0.456362
41,0.926244,0.370489,0.648367
42,0.870156,0.098426,0.484291
43,0.853821,0.118939,0.486380
44,0.940387,0.527368,0.733878
45,0.831685,0.140491,0.486088
46,0.935927,0.402384,0.669156
47,0.948596,0.517860,0.733228
48,0.881154,0.091334,0.486244
49,0.927043,0.269864,0.598454
50,0.858746,0.073660,0.466203
51,0.868205,0.112968,0.490587
52,0.938939,0.487051,0.712995
53,0.913397,0.227929,0.570663
54,0.925527,0.338337,0.631932
55,0.916889,0.173441,0.545165
56,0.844562,0.096130,0.470346
57,0.920833,0.276826,0.598829
58,0.951203,0.462114,0.706659
59,0.872502,0.162490,0.517496
60,0.927976,0.360318,0.644147
mean,0.899110,0.251093,0.575102
